기준연도,기준월,면적/동(호),전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2021,06월,동(호),7561,463,4,4,10,12,11,14,14,22,7,19,31,17,13,159,14,25,25,52,13,11,13,23,52,44,30
2021,07월,면적,102785,7848,89,284,130,183,69,238,219,312,162,251,489,706,157,850,220,501,439,909,343,186,219,360,833,911,194
2021,07월,동(호),7509,631,4,11,12,14,5,17,14,23,9,17,30,36,11,69,16,29,21,52,23,13,14,159,63,52,13
2021,08월,면적,98278,6655,53,128,110,179,92,213,183,378,133,207,435,822,204,423,192,373,320,543,243,172,176,423,549,419,193
2021,08월,동(호),7077,466,5,6,10,14,9,14,12,24,10,14,27,783,14,38,13,196,20,13,17,12,13,38,38,29,13
2021,09월,면적,89499,5759,92,57,93,178,71,197,260,447,99,150,354,822,176,183,184,261,298,590,475,149,172,423,434,287,433
2021,09월,동(호),6474,400,4,4,9,13,5,12,13,27,7,10,21,640,13,17,14,19,16,33,33,10,12,16,31,22,32
2021,10월,면적,85762,4316,89,58,70,187,131,164,125,186,48,189,312,327,172,175,117,176,169,373,428,151,172,172,462,236,173
2021,10월,동(호),6149,278,3,4,7,10,5,7,6,10,4,9,17,333,12,13,9,11,10,17,22,10,12,13,33,16,11
2021,11월,면적,78341,4437,61,30,46,106,49,125,92,133,40,106,194,333,140,134,106,204,133,256,197,151,172,175,521,376,767
2021,11월,동(호),5638,303,2,2,5,7,3,6,5,9,4,7,11,274,11,10,7,14,12,30,10,10,10,13,35,22,14
2021,12월,면적,69439,4931,47,511,55,66,33,261,121,123,29,106,155,1263,148,81,106,175,140,1263,237,95,140,153,454,1057,272
2021,12월,동(호),4905,289,2,22,5,5,2,11,4,8,3,9,9,1263,10,6,7,8,9,1263,12,6,9,12,33,69,14
2022,01월,면적,64841,4461,34,62,32,539,101,151,93,272,579,46,87,381,58,108,72,453,158,22,81,58,56,383,193,186,256
2022,01월,동(호),4654,236,2,3,2,15,4,5,5,18,40,3,5,18,4,4,5,26,9,1,4,4,3,16,15,11,13
2022,02월,면적,62688,3571,80,220,135,400,187,76,50,74,23,190,155,182,66,221,116,138,81,182,110,1266,63,151,900,150,113
2022,02월,동(호),4550,222,6,10,7,33,6,4,3,4,1,1,6,6,3,6,8,6,4,6,4,87,4,8,70,9,6
2022,03월,면적,62391,3926,29,35,149,46,26,176,62,182,190,295,119,66,74,122,41,162,59,197,179,121,106,211,246,231,111
2022,03월,동(호),4433,231,2,2,8,3,2,10,3,8,10,19,7,4,3,8,3,10,4,14,14,8,7,18,18,15,7
2022,04월,면적,74575,3508,35,35,92,74,47,157,260,96,358,104,272,84,74,122,30,198,162,293,92,106,121,368,432,196,1154
2022,04월,동(호),5421,233,2,2,8,5,3,10,14,7,28,6,16,5,5,7,2,11,10,14,8,8,9,36,27,18,75
2022,05월,면적,63769,4835,32,59,129,111,64,152,189,125,166,45,211,111,146,54,41,196,171,196,139,199,390,362,349,117,75
2022,05월,동(호),4458,325,2,4,13,8,5,9,8,9,9,3,16,9,8,4,3,12,10,12,9,7,26,36,25,7,37
2022,06월,면적,60119,4168,28,35,51,108,44,548,61,468,295,61,119,81,240,46,30,89,114,33,196,371,233,345,297,243,75
2022,06월,동(호),4368,257,2,2,5,7,4,39,3,20,19,3,19,5,12,5,2,5,4,2,20,17,17,25,19,9,4
2022,07월,면적,42595,4651,18,279,28,172,126,1223,42,52,66,42,92,44,220,199,33,67,407,22,543,50,50,297,278,51,59
2022,07월,동(호),2939,304,1,12,2,12,8,92,2,3,4,2,5,3,10,14,2,2,20,1,5,4,3,19,17,4,4
2022,08월,면적,51007,2739,22,293,28,68,26,97,35,28,27,27,68,38,167,46,42,51,20,67,243,390,154,378,278,61,37
2022,08월,동(호),3766,175,1,14,2,4,1,4,2,2,2,2,4,2,10,7,3,3,1,5,8,26,9,20,17,4,3
2022,09월,면적,37727,1773,24,20,24,36,26,210,40,45,34,45,80,54,70,46,31,34,33,51,172,41,25,569,423,61,224
2022,09월,동(호),2672,101,1,1,2,2,1,8,2,3,2,2,4,4,4,4,2,2,2,3,3,3,2,33,172,4,7
2022,10월,면적,39369,2087,12,19,23,30,12,52,33,240,34,18,75,46,167,199,94,34,51,175,423,62,154,140,345,241,377
2022,10월,동(호),2840,118,1,1,2,2,1,3,2,12,2,1,4,2,10,14,6,3,3,4,9,4,9,17,17,19,25
2022,11월,면적,38186,2140,10,21,22,33,32,55,26,220,18,34,79,37,199,369,31,51,53,462,434,62,19,378,345,83,206
2022,11월,동(호),2688,120,1,1,1,2,2,3,2,10,1,2,4,2,14,33,2,3,3,9,22,4,1,20,17,6,12
2022,12월,면적,52385,3348,21,18,67,107,114,407,496,85,94,155,151,56,199,167,67,53,70,236,549,153,154,378,345,173,206
2022,12월,동(호),3851,198,1,1,5,7,4,20,34,5,3,9,9,3,14,10,4,3,4,16,419,140,378,20,17,11,12
2023,01월,면적,39124,4529,10,28,16,337,31,1478,70,605,23,47,108,184,55,158,41,70,49,33,177,210,22,40,169,107,461
2023,01월,동(호),2836,287,1,1,1,23,2,104,5,41,1,3,6,9,4,4,3,4,3,1,8,16,1,4,10,9,20
2023,02월,면적,63909,10226,19,40,34,385,48,929,231,778,195,113,202,183,179,107,121,109,125,30,137,83,43,113,173,523,5326
2023,02월,동(호),4621,604,1,3,3,24,4,67,12,48,9,7,9,11,11,10,9,9,7,2,9,5,2,10,13,31,288
2023,03월,면적,59750,6225,32,32,34,190,55,155,408,622,77,117,235,386,119,119,147,169,182,61,235,142,77,156,253,347,1843
2023,03월,동(호),4357,410,2,3,3,14,4,11,29,47,5,7,14,19,8,8,11,11,13,4,17,10,6,11,18,25,105
2023,04월,면적,58791,5296,38,72,94,201,61,243,75,171,59,97,196,612,126,133,164,174,158,42,347,148,92,150,241,271,1331
